
|K02OA       |-         |TX |2   |DA  |Z                   |-  |-  |LIC    |CHICO                    |CA |US |BLTVL  -20071119AFF |3.     kW |-         |0.0     |-       |20969      |N |39 |57 |26.90 |W |121 |42 |47.40 |FAMILY STATIONS, INC.                                                       |   0.00 km |   0.00 mi |  0.00 deg |1104.3 m|-       |79666     |0.      |-       |43.3    |1218991   |
|K02EE-D     |-         |LD |2   |DA  |                    |-  |-  |LIC    |WEAVERVILLE              |CA |US |BLDTV  -20080930AEI |0.015  kW |-         |0.0     |-       |68101      |N |40 |43 |11.00 |W |122 |58 |46.00 |TRINITY COUNTY OFFICE OF EDUCATION                                          |   0.00 km |   0.00 mi |  0.00 deg |1211.6 m|-       |86608     |0.      |-       |12.6    |1262099   |
|KOTR-LP     |-         |TX |2   |DA  |Z                   |-  |-  |LIC    |SANTA CRUZ               |CA |US |BLTVL  -20100721DAA |0.84   kW |-         |0.0     |-       |2871       |N |36 |32 |5.00  |W |121 |37 |9.00  |MIRAGE MEDIA 2, LLC                                                         |   0.00 km |   0.00 mi |  0.00 deg |1056.  m|-       |100759    |0.      |-       |24.     |1391737   |
|K02JH       |-         |TX |2   |DA  |                    |-  |-  |LIC    |SALIDA, ETC.             |CO |US |BLTTV  -19800422IC  |0.009  kW |-         |0.0     |-       |10089      |N |38 |44 |37.00 |W |106 |11 |50.00 |CHAFFEE COUNTY TV TRANSLATOR ASSOCIATION                                    |   0.00 km |   0.00 mi |  0.00 deg |3322.  m|H       |22822     |0.      |-       |0.      |19779     |
|K02OP       |-         |TX |2   |DA  |                    |-  |-  |LIC    |COLLBRAN                 |CO |US |BLTTV  -19940803IE  |0.002  kW |-         |0.0     |-       |41290      |N |39 |14 |31.00 |W |107 |57 |52.00 |MESA COUNTY                                                                 |   0.00 km |   0.00 mi |  0.00 deg |1861.  m|H       |20773     |190.    |-       |8.      |201442    |
|K02NV       |-         |TX |2   |DA  |                    |-  |-  |LIC    |SARGENTS                 |CO |US |BLTTV  -19970106JC  |0.002  kW |-         |0.0     |-       |25618      |N |38 |23 |26.00 |W |106 |24 |39.00 |GUNNISON COUNTY METROPOLITAN RECREATION DISTRICT                            |   0.00 km |   0.00 mi |  0.00 deg |2822.  m|H       |21386     |0.      |-       |6.      |238799    |
|K02AC       |-         |TX |2   |DA  |                    |-  |-  |LIC    |AGUILAR                  |CO |US |BLTTV  -4719        |0.91   kW |-         |0.0     |-       |651        |N |37 |23 |20.00 |W |104 |37 |40.00 |AGUILAR TELEVISION CLUB                                                     |   0.00 km |   0.00 mi |  0.00 deg |2117.  m|H       |24536     |308.    |-       |0.      |304011    |
|K02GJ       |-         |TX |2   |ND  |                    |-  |-  |LIC    |DELTA, ETC.              |CO |US |BLTTV  -3686        |0.031  kW |-         |0.0     |-       |70570      |N |38 |44 |36.00 |W |108 |5  |18.00 |HOAK MEDIA OF COLORADO LICENSE, LLC                                         |   0.00 km |   0.00 mi |  0.00 deg |1551.  m|H       |-         |-       |-       |0.      |304024    |
|K02HW       |-         |TX |2   |DA  |                    |-  |-  |LIC    |GRAND VALLEY             |CO |US |BLTTV  -4389        |0.057  kW |-         |0.0     |-       |70583      |N |39 |25 |48.00 |W |107 |57 |10.00 |HOAK MEDIA OF COLORADO LICENSE, LLC                                         |   0.00 km |   0.00 mi |  0.00 deg |2477.  m|H       |24225     |315.    |-       |0.      |304028    |
|DK02IL      |-         |TX |2   |DA  |                    |-  |-  |LIC    |PAGOSA SPRINGS           |CO |US |BLTTV  -4908        |0.06   kW |-         |0.0     |-       |48590      |N |37 |15 |40.00 |W |107 |2  |45.00 |LIN OF COLORADO, LLC                                                        |   0.00 km |   0.00 mi |  0.00 deg |2304.  m|H       |20822     |77.     |-       |0.      |304030    |
|K02EX       |-         |TX |2   |DA  |                    |-  |-  |LIC    |SOUTH FORK, ETC.         |CO |US |BLTTV  -2005        |0.024  kW |-         |0.0     |-       |61184      |N |37 |41 |7.00  |W |106 |39 |19.00 |SOUTH FORK TV ASSOCIATION                                                   |   0.00 km |   0.00 mi |  0.00 deg |2949.  m|H       |22805     |312.    |-       |0.      |304036    |
|K02ET       |-         |TX |2   |DA  |                    |-  |-  |LIC    |VALLECITO                |CO |US |BLTTV  -4013        |0.038  kW |-         |0.0     |-       |36359      |N |37 |22 |0.00  |W |107 |31 |30.00 |LAKE TELEVISION ASSOCIATION                                                 |   0.00 km |   0.00 mi |  0.00 deg |2940.  m|H       |24220     |0.      |-       |0.      |304038    |
|K02GC       |-         |TX |2   |DA  |                    |2  |-  |LIC    |NUCLA, PARADOX, ETC.     |CO |US |BLTTV  -34945       |0.01   kW |-         |79.0    |-       |70586      |N |38 |15 |10.00 |W |108 |39 |30.00 |HOAK MEDIA OF COLORADO LICENSE, LLC                                         |   0.00 km |   0.00 mi |  0.00 deg |1914.  m|H       |-         |100.    |-       |9.      |1104298   |
|K02OS-D     |-         |LD |2   |DA  |                    |-  |-  |LIC    |WEBER CANYON             |CO |US |BLDTV  -20110329ACX |0.002  kW |-         |0.0     |-       |61474      |N |37 |17 |51.00 |W |108 |18 |2.00  |SOUTHWEST COLORADO TV TRANSLATOR ASSOCIATION                                |   0.00 km |   0.00 mi |  0.00 deg |2139.  m|-       |20773     |90.     |-       |7.      |1422180   |
|K02OG-D     |-         |LD |2   |DA  |                    |-  |-  |LIC    |DOLORES                  |CO |US |BLDTV  -20110329ADF |0.004  kW |-         |0.0     |-       |61479      |N |37 |28 |0.00  |W |108 |31 |25.70 |SOUTHWEST COLORADO TV TRANSLATOR ASSOCIATION                                |   0.00 km |   0.00 mi |  0.00 deg |2176.  m|-       |20822     |78.     |-       |4.      |1422197   |
|K02IK-D     |-         |LD |2   |ND  |                    |-  |-  |LIC    |GATEVIEW                 |CO |US |BLDTV  -20110422AAX |0.06   kW |-         |0.0     |-       |27252      |N |38 |15 |43.00 |W |107 |15 |1.00  |GUNNISON COUNTY METROPOLITAN RECREATION DISTRICT                            |   0.00 km |   0.00 mi |  0.00 deg |2783.7 m|-       |97898     |-       |-       |10.7    |1424848   |
|K02QI-D     |-         |LD |2   |DA  |                    |-  |-  |LIC    |HESPERUS                 |CO |US |BLDTV  -20110808ACJ |0.004  kW |-         |0.0     |-       |130898     |N |37 |17 |58.00 |W |108 |1  |33.00 |SOUTHWEST COLORADO TV TRANSLATOR ASSOCIATION                                |   0.00 km |   0.00 mi |  0.00 deg |2689.  m|-       |20822     |210.    |-       |4.      |1439031   |
|K02OU-D     |-         |LD |2   |DA  |                    |-  |-  |LIC    |ISMAY CANYON             |CO |US |BLDTV  -20110808ACV |0.002  kW |-         |0.0     |-       |61476      |N |37 |15 |8.00  |W |108 |41 |16.00 |SOUTHWEST COLORADO TV TRANSLATOR ASSOCIATION                                |   0.00 km |   0.00 mi |  0.00 deg |1819.  m|-       |20773     |90.     |-       |6.      |1439043   |
|WUVF-LP     |-         |TX |2   |ND  |+                   |-  |-  |LIC    |NAPLES                   |FL |US |BLTVA  -20030109AEN |3.     kW |-         |0.0     |-       |71138      |N |26 |19 |0.00  |W |81  |47 |13.00 |SP FT. MYERS LLC                                                            |   0.00 km |   0.00 mi |  0.00 deg |217.6  m|-       |38291     |-       |1027587 |213.    |622427    |
|WPAF-LP     |-         |TX |2   |DA  |+                   |-  |-  |LIC    |PANAMA CITY              |FL |US |BLTVL  -20060106ADM |0.127  kW |-         |0.0     |-       |128725     |N |30 |8  |51.00 |W |85  |35 |36.00 |MARCIA T. TURNER D/B/A TURNER ENTERPRISES                                   |   0.00 km |   0.00 mi |  0.00 deg |55.    m|-       |44770     |270.    |-       |46.     |1107137   |
|W02CI       |-         |TX |2   |ND  |Z                   |-  |-  |LIC    |CAIRO/THOMASVILLE        |GA |US |BLTVL  -19960807IA  |0.018  kW |-         |0.0     |-       |9729       |N |30 |52 |21.00 |W |84  |5  |17.00 |CEE, INC.                                                                   |   0.00 km |   0.00 mi |  0.00 deg |126.   m|H       |-         |-       |-       |53.     |230737    |
